	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
ENSG00000229273	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
LINC02829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV3L-IT1	0	2	0	0	0	0	0	4	3	1	0	4	0	0	1	1	0
ENSG00000229278	3	0	2	1	0	2	3	1	2	1	0	2	11	2	12	2	2
EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR53P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229282	2	1	0	0	1	8	1	1	2	1	3	0	0	1	0	0	2
ENSG00000229283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUCL3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2
ENSG00000229286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP5P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02768	2	1	2	8	8	11	5	4	2	7	5	9	8	5	1	5	9
RFPL4AL1	0	2	2	2	4	0	0	0	0	3	0	3	0	0	1	3	4
HLA-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPB1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1
ENSG00000229297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB8P1	4	1	0	1	1	0	1	2	6	0	8	2	1	2	3	1	1
ZBTB46-AS2	1	0	0	0	2	4	0	1	0	0	1	0	0	0	2	0	0
SNHG32	63	47	41	35	32	45	38	32	51	37	64	42	53	45	66	59	41
ENSG00000229301	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0
TAF9P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP25	0	0	0	0	0	0	3	1	0	0	2	0	0	1	0	1	0
ENSG00000229305	0	0	0	2	1	0	0	0	1	0	0	1	2	0	0	0	0
ENSG00000229306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229308	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000229309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPP40P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229311	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0
ENSG00000229312	2	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0
ENSG00000229313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORM1	901444	801637	720687	299465	349717	401424	863611	823967	900613	536268	628940	632826	832539	647540	639116	645653	359169
MCHR2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KRT8P12	58	40	36	34	38	47	38	35	32	30	36	25	33	23	32	18	26
ENSG00000229321	6	8	7	2	5	12	16	15	19	6	8	12	12	11	10	11	7
ENSG00000229322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUTF2P7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ACAP2-IT1	1	2	0	5	1	0	3	2	2	1	2	3	0	2	1	0	1
RPL17P15	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
EPC1-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229330	0	2	0	2	2	0	0	1	0	0	1	0	2	0	1	0	0
GK-IT1	0	0	0	0	1	6	0	0	0	5	1	0	0	0	0	0	1
PGBD4P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TMEM44-AS2	2	7	1	3	1	8	4	1	8	6	6	1	2	3	4	3	2
DANT1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3
SREK1IP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229337	10	10	7	5	5	1	10	8	10	8	5	6	7	10	15	0	3
NME2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNXB	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0
MYL12BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P12	37	29	27	30	30	23	24	23	52	32	20	29	40	20	19	36	24
ENSG00000229345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM10	0	0	0	0	0	0	24	11	27	18	4	5	0	4	14	15	2
ENSG00000229347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYI-AS1	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0
ACTG1P9	2	0	2	2	2	0	2	1	0	2	3	0	4	3	0	1	2
KRTAP9-11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNXB	16	13	12	5	6	9	23	17	12	63	37	36	137	68	141	2	3
LRRC3-DT	3	3	1	0	3	6	1	2	5	5	5	5	1	3	1	0	0
CYCSP51	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
DPY19L1P1	13	19	19	23	5	17	16	13	15	15	22	17	26	20	19	25	16
PIN1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBTFL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NELFE	34	18	17	26	9	17	26	31	29	34	29	38	28	27	14	18	22
DDX39BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229368	0	0	0	3	1	0	1	0	1	0	0	0	0	1	1	0	0
ENSG00000229369	3	1	0	2	0	0	3	0	0	1	0	0	1	0	0	0	0
ENSG00000229370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SZT2-AS1	0	1	0	1	1	3	1	0	0	1	0	3	0	0	0	0	1
LINC00452	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
USP24P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	13	15	9	4	3	0	5	3	3	5	6	4	5	4	4	6	0
ENSG00000229379	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRKAR1B-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM10	0	0	0	0	0	0	30	40	27	54	66	87	39	13	17	23	30
ENSG00000229382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA2-AS1	1	1	0	1	0	0	2	0	0	0	1	1	3	2	0	1	1
OR8B9P	0	2	0	0	3	1	0	0	2	2	2	5	1	2	0	1	1
TAF12-DT	8	8	10	2	3	4	13	12	9	5	4	0	17	11	12	2	2
ENSG00000229389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICD	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
HLA-DRB6	0	0	0	0	0	0	1	1	2	1	1	1	0	3	0	0	0
ENSG00000229393	1	0	1	0	0	0	0	0	0	2	2	2	0	0	0	0	0
ZNF70P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAXX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229399	0	1	0	0	0	0	2	1	1	1	0	0	0	0	1	0	1
CNIH3-AS1	16	8	6	0	0	0	1	8	14	3	1	5	10	6	36	1	2
MIR5689HG	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229402	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000229403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00858	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P4Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229409	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MCCD1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR10C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229413	2	1	1	0	1	0	0	0	0	0	0	0	7	0	0	9	0
KCNQ1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFTA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1P25	2	0	3	9	1	0	0	6	13	3	4	0	0	0	3	10	5
ENSG00000229418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGAPA1P1	9	4	9	0	2	10	6	0	0	0	4	0	5	9	18	0	2
H3P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229422	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RPL27AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000229424	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0
ENSG00000229425	58	34	34	153	113	185	22	23	49	108	156	120	18	18	18	99	106
ANKRD26P4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0
HLA-U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MED8-AS1	7	4	2	4	2	0	4	10	9	3	5	14	9	13	8	8	2
C6orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02069	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0
ENSG00000229434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIP5K1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00366	1	1	1	0	0	2	1	0	3	1	2	0	0	0	0	0	0
RPS17P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2H4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THEMIS3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00433	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ST3GAL3-AS1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
ENSG00000229447	7	2	0	2	1	1	3	5	5	2	8	5	6	8	2	2	6
CPVL-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
SPINK8	1	3	1	0	0	0	0	2	0	4	1	4	3	2	0	0	0
ENSG00000229454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS10P18	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
RLIMP1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0
LINC01789	0	1	0	0	0	0	1	0	1	2	1	1	1	1	1	0	0
ENSG00000229458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYST-AS1	3	2	0	1	1	0	4	1	3	1	3	3	0	2	1	1	0
ACTG1P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02627	3	2	0	0	1	7	1	1	3	1	1	4	1	1	1	2	0
OR2I1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL39P18	1	1	1	0	1	6	0	1	1	3	0	0	0	1	0	0	0
OR2H5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNL1	66	53	66	25	49	155	8	58	37	33	24	14	77	54	53	110	58
RGS17P1	0	1	1	0	0	2	0	2	2	2	1	0	4	2	1	0	0
PATL2	10	2	7	17	23	30	10	9	14	49	43	55	9	8	3	19	14
ROBO2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02766	12	11	19	12	13	24	20	18	6	16	23	13	11	8	13	9	8
KSR1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG13-AS1	0	1	0	0	0	0	0	2	3	2	1	2	2	0	0	1	1
PRRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229491	4	0	0	0	0	2	0	1	1	1	1	2	0	0	1	1	1
ENSG00000229492	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0
HLA-DQB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229494	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000229495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39B	543	371	301	378	218	368	196	258	335	402	415	492	361	334	301	336	339
ENSG00000229497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229498	3	1	3	1	4	0	2	2	1	0	3	1	1	0	0	2	1
MICG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL17P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229502	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL21P37	1	0	1	1	1	5	0	1	1	0	0	5	2	2	0	6	2
ENSG00000229505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHKG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS2L1P1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000229512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2V1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	1	0	0	0	1	0	2	1	1	1	2	1	1	1	1	1	1
LINC00404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCBP2-AS2	0	1	0	0	1	0	0	0	2	2	1	0	0	4	0	1	1
LINC01523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG6	42	23	36	51	34	72	64	80	116	95	144	99	84	46	21	45	52
DNPEP-AS1	5	3	1	1	1	5	2	5	0	1	3	0	8	5	3	4	3
KRT16P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229528	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-V	8	6	10	8	8	0	3	0	2	0	0	9	0	3	2	0	4
ENSG00000229530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABGAP1L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL15P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02572	0	2	1	0	1	0	1	1	0	1	3	1	3	0	2	0	2
LINC01739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK2-AS1	4	2	2	1	5	9	6	9	4	7	11	3	1	1	2	3	3
GAPDHP26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2DNL	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
TSPY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPDHP17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00379	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SACS-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYARP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE9P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01204	2	1	3	3	1	0	2	2	6	2	4	1	0	4	0	3	3
LINC02264	1	1	1	0	0	2	1	2	1	3	4	7	1	0	0	2	0
ENSG00000229567	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0
SMC4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229569	0	0	0	2	2	0	0	1	3	2	2	2	1	3	0	1	2
GAPDHP58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4BP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX3-DT	2	0	1	0	0	0	0	2	2	0	5	4	1	0	0	3	1
RPL21P44	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0
TNPO1P3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000229587	0	4	1	0	1	0	1	2	1	1	0	1	0	1	2	1	0
ENSG00000229588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2B-AS1	15	16	11	9	3	21	17	8	10	12	13	15	20	20	17	12	6
MSX2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229591	0	0	2	0	1	6	2	0	2	2	8	3	1	2	1	1	0
SUCLA2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229595	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL12BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTNL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3P1	7	2	1	1	0	0	2	3	5	2	4	1	5	2	2	5	3
LINC00411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229601	0	1	0	0	0	0	0	3	2	1	0	0	3	0	0	0	1
ENSG00000229603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTATP8P2	0	0	0	1	1	0	2	1	0	0	1	0	0	0	0	2	1
RPL21P93	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0
LINC01718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LINC01079	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
LINC02851	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
SUMO1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01501	1	4	2	0	4	8	2	2	4	5	0	2	7	5	5	4	1
ENSG00000229616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229618	7	4	3	4	6	7	0	5	8	13	13	8	3	6	4	11	7
MBNL1-AS1	5	12	7	8	7	0	13	12	5	3	10	17	22	15	15	5	6
LINC01822	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
MTND5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL21AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229625	3	0	1	0	0	0	3	5	2	0	2	0	2	2	0	0	0
PIGCP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSNDP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229628	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000229629	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229635	0	1	1	1	0	3	1	1	1	0	4	0	0	2	0	0	0
KRT8P21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PRAC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL4P4	28	12	16	12	23	30	5	13	13	18	8	9	23	34	13	23	9
LINC01758	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CYP2C56P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPTP1	1341	1349	1123	1051	874	1038	603	502	448	197	281	214	806	750	549	438	335
ENSG00000229646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOSLID	3	0	1	0	0	5	1	1	6	5	4	3	2	0	1	3	1
RPSAP22	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
LINC02681	2	0	2	0	1	2	0	1	0	1	1	0	3	0	1	1	0
MICC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNRD1ASP	1	0	9	0	0	10	0	0	0	0	0	1	5	4	11	1	0
LINC02526	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0
ITGB1-DT	50	48	33	67	76	65	31	33	28	101	100	141	39	51	46	108	137
ENSG00000229657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL26P6	1	1	0	0	1	0	0	3	5	2	5	0	2	1	1	2	0
ENSG00000229660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUD31P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST4-AS1	0	0	0	1	0	0	2	1	1	2	3	1	4	0	0	2	2
UBE2V1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKP4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01150	1	1	1	0	0	0	2	2	2	2	1	3	2	1	0	2	2
ENSG00000229672	0	0	0	0	1	0	1	0	1	1	0	2	4	0	1	0	2
ENSG00000229673	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H2AL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF492	1	1	1	0	0	0	0	2	5	0	2	5	1	4	2	0	0
ENSG00000229677	0	3	0	3	0	0	1	0	2	0	0	0	0	4	0	1	0
ENSG00000229679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDC1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB	0	0	0	0	0	0	9	0	5	0	1	22	16	0	28	0	6
HLA-DPA1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SNORD56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRPPA-AS1	2	0	0	3	2	0	1	0	0	1	0	1	1	0	0	1	0
ENSG00000229689	28	23	15	19	14	19	28	21	17	16	17	16	64	53	51	23	17
MTCO2P1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOS1-IT1	6	0	6	0	3	0	0	0	0	2	7	0	1	0	0	0	2
SKP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229694	0	0	0	0	0	0	3	0	2	0	0	2	0	2	0	0	0
ENSG00000229695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM242E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-F	91	51	61	198	218	323	0	0	2	27	22	69	5	1	5	42	20
ENSG00000229699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229700	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1
MTND2P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
